club,name,position,cost,matches_played,goals,assists,yellow_cards,red_cards,penalty_attempted,penalty_scored,penalty_saved,avg_rating,magic_avg_rating,magic_total_points
milan,Ibrahimovic Z.,FW,38,18.0,15.0,2.0,2.0,1.0,6.0,3.0,3.0,6.5,8.5,36.0
roma,Juan Jesus G.,DF,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,5.75,0.0
cagliari,Rog M.,MF,13,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.96,5.88,-1.1
juventus,Mckennie W.,MF,19,33.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,6.13,6.72,19.5
cagliari,Godin D.,DF,14,28.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.91,6.01,2.8
bologna,Sansone N.,T,15,21.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.95,6.3,7.3
crotone,Rispoli A.,DF,6,15.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.6,5.46,-2.1
torino,Buongiorno A.,DF,4,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,5.83,-2.0
cagliari,Pavoletti L.,FW,19,23.0,4.0,2.0,7.0,0.0,0.0,0.0,0.0,6.1,6.56,10.6
sampdoria,Gabbiadini M.,FW,23,16.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,6.15,6.81,10.6
verona,Pandur I.,GK,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,4.62,-6.0
sampdoria,Letica K.,GK,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,6.5,0.0
udinese,Zeegelaar M.,DF,7,24.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,5.62,5.68,1.4
sassuolo,Defrel G.,FW,15,28.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,5.82,6.19,10.3
parma,Balogh B.,DF,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.5,5.33,-0.5
crotone,Cordaz A.,GK,5,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.06,3.52,-91.5
napoli,Contini N.,GK,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verona,Lovato M.,DF,6,22.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.9,5.79,-2.4
bologna,Hickey A.,DF,5,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.86,5.63,-2.6
spezia,Capradossi E.,DF,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0
parma,Cornelius A.,FW,15,29.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,5.63,5.81,5.2
parma,Grassi A.,MF,6,21.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.66,5.5,-3.4
benevento,Insigne R.,T,12,28.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,5.69,6.01,9.0
sassuolo,Kyriakopoulos G.,DF,11,21.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.88,6.02,2.9
cagliari,Joao Pedro G.,T,31,37.0,16.0,3.0,4.0,0.0,5.0,4.0,1.0,6.09,7.33,45.9
sampdoria,Tonelli L.,DF,9,22.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,5.88,5.84,-0.9
atalanta,Sportiello M.,GK,11,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,5.0,-18.0
genoa,Pjaca M.,T,12,29.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.6,5.98,11.0
parma,Conti A.,DF,9,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.44,5.27,-1.6
sassuolo,Locatelli M.,MF,21,34.0,4.0,1.0,9.0,0.0,2.0,2.0,0.0,6.36,6.73,12.6
spezia,Sena L.,MF,7,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.89,5.89,0.0
genoa,Onguene J.,DF,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,5.16,0.0
lazio,Correa C.,T,27,28.0,8.0,3.0,1.0,1.0,1.0,1.0,0.0,5.91,6.82,25.5
lazio,Anderson D.,MF,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,5.25,0.0
genoa,Zajc M.,T,13,31.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,5.83,6.0,5.3
genoa,Scamacca G.,FW,22,26.0,8.0,2.0,1.0,0.0,2.0,2.0,0.0,6.11,7.01,23.4
atalanta,De Roon M.,MF,18,35.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,6.45,6.47,0.7
genoa,Paleari A.,GK,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,-3.0
benevento,Pastina C.,DF,2,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.66,5.83,0.5
sassuolo,Lopez M.,MF,14,27.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,6.01,6.18,4.6
inter,Gagliardini R.,MF,17,21.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,6.07,6.69,13.0
milan,Diaz B.,T,20,24.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,6.12,6.87,18.0
spezia,Maggiore G.,MF,18,33.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,6.16,6.51,11.5
atalanta,Djimsiti B.,DF,16,33.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,6.4,6.34,-2.0
napoli,Lozano H.,T,26,32.0,11.0,3.0,6.0,0.0,0.0,0.0,0.0,6.26,7.29,33.0
atalanta,Gollini P.,GK,20,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.24,5.4,-21.0
benevento,Lapadula G.,FW,22,36.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,5.9,6.51,22.0
udinese,De Paul R.,T,32,36.0,9.0,7.0,3.0,2.0,3.0,3.0,0.0,6.54,7.63,39.3
crotone,Messias J.,T,24,36.0,9.0,3.0,6.0,0.0,0.0,0.0,0.0,6.33,7.08,27.0
