club,name,position,cost,matches_played,goals,assists,yellow_cards,red_cards,penalty_attempted,penalty_scored,penalty_saved,avg_rating,magic_avg_rating,magic_total_points
sassuolo,Rogerio O.,DF,9,25.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.96,5.88,-2.0
roma,Calafiori R.,DF,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.25,4.75,-1.0
parma,Kurtic J.,MF,13,34.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,5.63,6.02,13.3
milan,Mandzukic M.,FW,14,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,5.58,0.0
roma,Veretout J.,MF,28,28.0,10.0,1.0,4.0,0.0,5.0,5.0,0.0,6.25,7.64,38.9
lazio,Patric P.,DF,6,23.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,5.54,5.41,-3.0
roma,Peres B.,DF,12,26.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,5.8,5.94,3.6
sampdoria,Verre V.,T,16,20.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,6.02,6.66,13.5
roma,Dzeko E.,FW,25,25.0,7.0,3.0,2.0,0.0,1.0,0.0,1.0,5.98,6.78,20.0
crotone,Cuomo G.,DF,4,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.54,5.37,-2.1
spezia,Krapikas T.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milan,Hernandez T.,DF,27,33.0,7.0,5.0,9.0,0.0,0.0,0.0,0.0,6.16,7.13,32.0
roma,Fazio F.,DF,11,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.6,6.3,3.5
torino,Lukic S.,MF,10,32.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,5.73,6.04,9.9
napoli,Maksimovic N.,DF,6,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.53,5.35,-2.5
sassuolo,Chiriches V.,DF,11,23.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,5.73,5.95,5.1
atalanta,Zapata D.,FW,37,37.0,15.0,7.0,0.0,0.0,1.0,1.0,0.0,6.21,7.62,52.1
crotone,Reca A.,DF,13,30.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,5.93,6.18,7.5
parma,Rinaldi F.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
torino,Singo W.,DF,9,27.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.96,6.12,4.3
crotone,Djidji K.,DF,8,18.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.63,5.77,2.6
inter,Dambrosio D.,DF,18,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,7.44,13.0
napoli,Meret A.,GK,13,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11,4.79,-29.0
bologna,Tomiyasu T.,DF,13,31.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,5.98,6.14,4.9
torino,Ansaldi C.,DF,16,25.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0,6.05,6.4,9.1
parma,Alves B.,DF,11,19.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,5.68,5.84,3.1
atalanta,Pessina M.,MF,19,26.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.32,6.63,8.1
spezia,Galabinov A.,FW,11,8.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,5.93,6.68,6.0
benevento,Hetemaj P.,MF,12,29.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,6.03,6.01,-0.6
fiorentina,Borja Valero I.,MF,11,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.85,5.7,-1.5
benevento,Improta R.,T,9,33.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.9,5.86,-1.3
roma,Lopez P.,GK,17,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16,4.78,-29.0
sampdoria,Bereszynski B.,DF,12,31.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.95,6.06,3.4
benevento,Glik K.,DF,12,36.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,5.83,5.88,1.8
bologna,Dijks M.,DF,7,20.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.8,5.62,-3.6
spezia,Vignali L.,DF,4,21.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.54,5.4,-2.9
benevento,Depaoli F.,MF,7,20.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.57,5.42,-3.0
lazio,Pereira A.,T,10,16.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,5.58,5.72,2.6
cagliari,Duncan A.,MF,13,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.82,5.85,0.6
udinese,Braaf J.,T,5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.87,6.62,3.0
atalanta,Maehle J.,DF,12,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.08,6.2,2.0
roma,Pastore J.,T,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0
bologna,Skorupski L.,GK,13,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.1,4.66,-40.3
genoa,Destro M.,FW,21,25.0,11.0,1.0,5.0,0.0,0.0,0.0,0.0,6.0,7.26,31.5
torino,Murru N.,DF,6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.7,0.0
parma,Sprocati M.,T,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0
atalanta,Palomino J.,DF,18,31.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,6.33,6.46,4.1
spezia,Gyasi E.,T,16,36.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,5.83,6.27,15.8
torino,Nkoulou N.,DF,14,18.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.94,6.05,2.0
genoa,Zappacosta D.,DF,22,24.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,6.43,7.04,14.7
parma,Sohm S.,MF,6,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.52,5.73,3.6
napoli,Bakayoko T.,MF,15,26.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,6.05,6.25,5.2
cagliari,Zappa G.,DF,9,31.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,5.75,5.83,2.4
inter,Martinez L.,FW,33,38.0,17.0,3.0,5.0,0.0,2.0,2.0,0.0,6.44,7.8,51.7
milan,Donnarumma G.,GK,24,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.43,5.47,-35.5
spezia,Terzi C.,DF,9,23.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,5.77,5.81,0.9
juventus,Dybala P.,T,28,19.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.86,6.65,15.1
lazio,Milinkovic S.,MF,32,32.0,8.0,8.0,4.0,0.0,0.0,0.0,0.0,6.35,7.54,38.1
benevento,Lucatelli I.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lazio,Akpa Akpro J.,MF,5,25.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,5.66,5.52,-3.5
milan,Donnarumma A.,GK,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crotone,Simy -.,FW,32,37.0,20.0,2.0,1.0,0.0,8.0,8.0,0.0,5.87,7.54,61.8
